Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
EDR,07E (East Central),2014,163555.00,61818.00,2.57
EDR,07W (Central),2014,414013.00,150491.00,2.67
EDR,08 (Southwest),2014,117946.00,48297.00,2.38
EDR,09 (South Central),2014,231686.00,92563.00,2.39
EDR,10 (Southeast),2014,500966.00,197130.00,2.45
EDR,11 (7 County Twin Cities),2014,2979343.00,1165657.00,2.5
State,Minnesota,2013,5417838.00,2132670.00,2.48
County,Aitkin,2013,15749.00,7156.00,2.16
County,Anoka,2013,341465.00,124747.00,2.71
County,Becker,2013,33167.00,13549.00,2.41
County,Beltrami,2013,45652.00,17372.00,2.51
County,Benton,2013,39219.00,15445.00,2.47
County,Big Stone,2013,5127.00,2245.00,2.22
County,Blue Earth,2013,65218.00,25277.00,2.42
County,Brown,2013,25465.00,10706.00,2.27
County,Carlton,2013,35505.00,13585.00,2.46
County,Carver,2013,95463.00,34445.00,2.74
County,Cass,2013,28604.00,12003.00,2.36
County,Chippewa,2013,12146.00,5172.00,2.3
County,Chisago,2013,53743.00,19570.00,2.66
County,Clay,2013,60426.00,22935.00,2.48
County,Clearwater,2013,8837.00,3591.00,2.43
County,Cook,2013,5185.00,2519.00,2.04
County,Cottonwood,2013,11610.00,4862.00,2.34
County,Crow Wing,2013,63216.00,26399.00,2.37
County,Dakota,2013,408732.00,156459.00,2.59
County,Dodge,2013,20342.00,7572.00,2.67
County,Douglas,2013,36529.00,15645.00,2.3
County,Faribault,2013,14192.00,6156.00,2.25
County,Fillmore,2013,20827.00,8581.00,2.39
County,Freeborn,2013,30917.00,13143.00,2.3
County,Goodhue,2013,46447.00,18935.00,2.41
County,Grant,2013,5990.00,2617.00,2.25
County,Hennepin,2013,1195058.00,491535.00,2.38
County,Houston,2013,18814.00,7867.00,2.36
County,Hubbard,2013,20585.00,8772.00,2.33
County,Isanti,2013,38231.00,14157.00,2.67
County,Itasca,2013,45542.00,19026.00,2.34
County,Jackson,2013,10265.00,4453.00,2.28
County,Kanabec,2013,16009.00,6375.00,2.47
County,Kandiyohi,2013,42351.00,16842.00,2.45
County,Kittson,2013,4498.00,1973.00,2.22
County,Koochiching,2013,13217.00,5865.00,2.21
County,Lac qui Parle,2013,7041.00,3096.00,2.22
County,Lake,2013,10777.00,4821.00,2.19
County,Lake of the Woods,2013,3932.00,1756.00,2.21
County,Le Sueur,2013,27834.00,10840.00,2.54
County,Lincoln,2013,5830.00,2558.00,2.23
County,Lyon,2013,25648.00,10243.00,2.4
County,McLeod,2013,36095.00,14590.00,2.44
County,Mahnomen,2013,5534.00,2055.00,2.65
